Country,Price,Size,Status,Marketplace
Mannouba,120000.0,157.36478304742684,À Vendre,Tayara TN
Ben arous,272450.0,195.0,A vendre,Jumia TN
Ariana,280000.0,157.36478304742684,À Vendre,Tayara TN
Sousse,430000.0,157.36478304742684,À Vendre,Tayara TN
Sousse,240000.0,103.0,A vendre,Jumia TN
Banlieue Nord,298000.0,77.0,A vendre,Jumia TN
Banlieue Nord,421200.0,162.0,A vendre,Jumia TN
Banlieue Nord,1570.0,157.36478304742684,À Vendre,Tayara TN
Sousse,350000.0,175.0,A vendre,Jumia TN
Banlieue Nord,950000.0,316.0,A vendre,Jumia TN
Banlieue Nord,265000.0,135.0,A vendre,Jumia TN
Banlieue Nord,800000.0,1.0,A vendre,Jumia TN
Ben arous,160000.0,95.0,A vendre,Jumia TN
Mahdia,316800.0,131.0,A vendre,Jumia TN
Banlieue Nord,244000.0,144.0,A vendre,Jumia TN
Ariana,255000.0,120.0,A vendre,Jumia TN
Ariana,196610.0,110.0,A vendre,Jumia TN
Sousse,145000.0,97.0,A vendre,Jumia TN
Tunis,92000.0,157.36478304742684,À Vendre,Tayara TN
Sousse,330000.0,100.0,A vendre,Jumia TN
Banlieue Nord,200000.0,100.0,A vendre,Jumia TN
Ben arous,125000.0,95.0,A vendre,Jumia TN
Banlieue Nord,215000.0,104.0,A vendre,Jumia TN
Nabeul,280000.0,157.36478304742684,À Vendre,Tayara TN
Banlieue Nord,160000.0,74.0,A vendre,Jumia TN
Nabeul,245.0,117.0,A vendre,Jumia TN
Ariana,183000.0,73.0,A vendre,Jumia TN
Sousse,210000.0,143.0,A vendre,Jumia TN
Nabeul,300000.0,80.0,A vendre,Jumia TN
Ariana,162000.0,100.0,A vendre,Jumia TN
Banlieue Nord,623353.0,172.0,A vendre,Jumia TN
Sfax,150000.0,106.0,A vendre,Jumia TN
Sousse,222000.0,70.0,A vendre,Jumia TN
Nabeul,370000.0,160.0,A vendre,Jumia TN
Ariana,440000.0,144.0,A vendre,Jumia TN
Sousse,250000.0,80.0,A vendre,Jumia TN
Mahdia,202500.0,84.0,A vendre,Jumia TN
Ariana,260000.0,120.0,A vendre,Jumia TN
Banlieue Nord,201000.0,1.0,A vendre,Jumia TN
Tunis,177000.0,157.36478304742684,À Vendre,Tayara TN
Ben arous,272451.0,195.0,A vendre,Jumia TN
Sousse,241000.0,157.36478304742684,À Vendre,Tayara TN
Ariana,375000.0,156.0,A vendre,Jumia TN
Sousse,400000.0,118.0,A vendre,Jumia TN
Ariana,153000.0,130.0,A vendre,Jumia TN
Banlieue Nord,2000.0,180.0,A vendre,Jumia TN
Sousse,1800.0,80.0,A vendre,Jumia TN
