,Country,Price
1424,Ben arous,650.0
1426,Ben arous,290.0
1428,Tunis,400.0
1430,Banlieue Nord,2800.0
1433,Banlieue Nord,1100.0
1436,Banlieue Nord,1600.0
1438,Ariana,65.0
1439,Ariana,650.0
1441,Mahdia,450.0
1443,Banlieue Nord,2800.0
1445,Banlieue Nord,5000.0
1447,Ariana,1300.0
1448,Tunis,500.0
1450,Ariana,750.0
1452,Ariana,670.0
1453,Bardo,500.0
1455,Sousse,450.0
1456,Banlieue Nord,350.0
1458,Banlieue Nord,7500.0
1459,Ariana,300.0
1461,Ariana,700.0
1465,Nabeul,700.0
1467,Banlieue Nord,1200.0
1469,Ariana,750.0
1471,Ariana,2500.0
1472,Banlieue Nord,1500.0
1474,Nabeul,400.0
1477,Ariana,940.0
1479,Banlieue Nord,2500.0
1481,Tunis,1300.0
1484,Banlieue Nord,3200.0
1486,Banlieue Nord,2800.0
1489,Nabeul,450.0
1490,Banlieue Nord,780.0
1495,Banlieue Nord,2500.0
1497,Nabeul,1000.0
1500,Banlieue Nord,1200.0
1504,Tunis,0.0
1505,Bizerte,440.0
1506,Banlieue Nord,2000.0
1509,Sousse,100.0
1511,Cite el khadra,550.0
1513,Banlieue Nord,1100.0
1515,Banlieue Nord,2200.0
1517,Banlieue Nord,5000.0
1519,Banlieue Nord,5000.0
1522,Ariana,2500.0
1524,Banlieue Nord,3650.0
1525,Banlieue Nord,2500.0
1527,Banlieue Nord,7000.0
1529,Banlieue Nord,1200.0
1532,Ariana,500.0
1535,Banlieue Nord,1600.0
1536,Ariana,900.0
1537,Banlieue Nord,2200.0
1538,Banlieue Nord,2500.0
1539,Ben arous,330.0
1542,Tunis,4500.0
1543,Banlieue Nord,1100.0
1546,Banlieue Nord,1400.0
1548,Banlieue Nord,2200.0
1549,Ariana,660.0
1553,Sousse,100.0
1554,Nabeul,2500.0
1556,Mahdia,110.0
1558,Nabeul,1200.0
1560,Ariana,170.0
1561,Tunis,350.0
1563,Ariana,1000.0
1565,Nabeul,900.0
1567,Sousse,100.0
1568,Nabeul,1150.0
1569,Tunis,1.0
1571,Ariana,850.0
1574,Tunis,1800.0
1576,Nabeul,900.0
1580,Banlieue Nord,1200.0
1581,Nabeul,0.0
1583,Banlieue Nord,2400.0
1585,Tunis,1500.0
1586,Banlieue Nord,0.0
1588,Ariana,1200.0
1590,Nabeul,1300.0
1591,Tunis,1000.0
1593,Nabeul,2400.0
1596,Banlieue Nord,250.0
1597,Banlieue Nord,2000.0
1600,Ben arous,0.0
1601,Ariana,1300.0
1603,Tunis,1000.0
1606,Tunis,600.0
1607,Tunis,2000.0
1609,Tunis,0.0
1613,Banlieue Nord,2000.0
1617,Banlieue Nord,850.0
1618,Ben arous,0.0
1620,Banlieue Nord,1000.0
1621,Ariana,850.0
1623,Tunis,900.0
1625,Banlieue Nord,1500.0
1629,Banlieue Nord,3000.0
1631,Nabeul,550.0
1633,Ariana,750.0
1635,Nabeul,120.0
1636,Ariana,750.0
1638,Banlieue Nord,5000.0
1639,Banlieue Nord,1500.0
1641,Ben arous,900.0
1643,Nabeul,130.0
1646,Sfax,0.0
1647,Jendouba,350.0
1648,Ariana,440.0
1650,Ben arous,2000.0
1651,Banlieue Nord,1600.0
1654,Nabeul,200.0
1655,Ben arous,600.0
1657,Sfax,375.0
1658,Banlieue Nord,2900.0
1660,Ben arous,500.0
1662,Banlieue Nord,5000.0
1665,Banlieue Nord,8000.0
1667,Banlieue Nord,6000.0
1669,Sousse,90.0
1670,Ben arous,350.0
1672,Ariana,600.0
